enterprise_value,signing_date,industry_sector,client_name,target_inc_country,percentage_to_be_sold
118000,2026-04-01,finance,Serrano SA,KOR,86
39000,2021-12-31,infrastructure,Clifton Inc,NLD,82
31000,2023-01-01,retail,Holmes SA,BHR,39
167000,2022-07-07,creative,Ogburn International,CRI,10
24000,2022-10-11,finance,Sardi International,UZB,75
61000,2021-12-31,finance,Harkrader PLC,BHR,83
27000,2022-10-11,creative,Chronister PLC,PCN,82
54000,2021-12-31,finance,Halliburton SA,KGZ,50
6000,2022-07-07,retail,Ferguson Ltd,IDN,14
15000,2023-01-01,creative,Martinez Inc,PRI,53
195000,2026-04-01,infrastructure,Hubbard Ltd,SLB,7
50000,2022-07-07,infrastructure,Montelongo Ltd,LCA,76
67000,2026-04-01,infrastructure,Landry International,MLT,64
96000,2022-07-07,creative,Dempsey PLC,PNG,65
121000,2021-12-31,finance,Helle SA,MTQ,100
123000,2023-01-01,manufacturing,Lee PLC,VNM,26
198000,2021-12-31,retail,Lim Ltd,LBY,15
152000,2022-07-07,retail,Beaulieu Inc,MSR,84
85000,2023-01-01,finance,Taylor GmbH,ZAF,88
37000,2026-04-01,creative,Vieyra Ltd,ARG,14
49000,2023-01-01,finance,Herndon PLC,NIU,30
109000,2026-04-01,finance,Belcher SA,ETH,61
115000,2023-01-01,finance,Ragin Inc,IMN,87
11000,2026-04-01,manufacturing,Hartnett SA,ROU,38
97000,2026-04-01,infrastructure,Ramos GmbH,SEN,36
63000,2022-07-07,creative,Cash SA,NGA,47
25000,2022-07-07,manufacturing,Tate International,CHL,70
185000,2022-07-07,infrastructure,Reed GmbH,AFG,48
99000,2021-12-31,manufacturing,Mascaro GmbH,BIH,82
100000,2023-01-01,manufacturing,Griffin Inc,DMA,77
107000,2026-04-01,finance,Mccutcheon Inc,BDI,47
186000,2021-12-31,creative,Yepes SA,ALA,1
71000,2021-12-31,infrastructure,Masi International,AUS,19
60000,2021-12-31,infrastructure,Pittman Inc,JEY,28
186000,2022-10-11,retail,Long Ltd,TCA,75
142000,2026-04-01,manufacturing,Torres Ltd,NIC,94
182000,2023-01-01,infrastructure,Ratterree International,FRO,75
18000,2026-04-01,retail,Dufour Ltd,DEU,27
55000,2022-10-11,manufacturing,Lane PLC,PCN,36
143000,2021-12-31,manufacturing,Hubbard GmbH,MDA,8
163000,2021-12-31,manufacturing,Rodriguez Inc,BWA,66
182000,2026-04-01,infrastructure,Hughes PLC,SDN,80
29000,2023-01-01,manufacturing,Buckley Ltd,SPM,26
170000,2021-12-31,manufacturing,Labarre Ltd,ARM,6
160000,2026-04-01,retail,Richard SA,MSR,10
160000,2022-10-11,manufacturing,Williams GmbH,EST,83
108000,2026-04-01,finance,Wagoner SA,ZWE,45
46000,2022-10-11,infrastructure,Galvin PLC,BDI,36
182000,2022-07-07,creative,Grube International,BGR,49
108000,2022-10-11,manufacturing,Bass Ltd,FLK,21
173000,2026-04-01,infrastructure,Pucci Inc,MRT,99
94000,2022-07-07,manufacturing,Lampkin PLC,ARE,97
126000,2026-04-01,retail,Boyd GmbH,GRC,1
59000,2021-12-31,creative,Lenihan Ltd,URY,91
68000,2026-04-01,infrastructure,Holzer PLC,BLZ,76
110000,2022-07-07,retail,Doyle SA,SDN,8
81000,2022-07-07,retail,Munoz International,TTO,69
134000,2022-07-07,finance,Mckenzie Inc,PRI,72
176000,2023-01-01,finance,Glover Inc,TUR,80
21000,2022-10-11,infrastructure,Leal GmbH,ITA,59
172000,2021-12-31,infrastructure,Anderson Ltd,CXR,96
66000,2021-12-31,retail,Tewell International,IND,40
183000,2026-04-01,retail,Trinidad International,SMR,11
149000,2021-12-31,manufacturing,Petit Ltd,FRA,86
117000,2022-07-07,finance,Stone PLC,DZA,71
107000,2021-12-31,retail,Urbanski Inc,LTU,2
87000,2021-12-31,finance,Shade PLC,SWE,35
135000,2026-04-01,manufacturing,Brewster SA,SSD,34
29000,2022-10-11,finance,Morriss PLC,GAB,6
104000,2026-04-01,finance,Hesler GmbH,NCL,84
172000,2023-01-01,retail,Snyder International,SVK,95
35000,2022-10-11,finance,Clapp Inc,TLS,67
107000,2022-07-07,retail,Brooks International,KEN,58
179000,2026-04-01,creative,Smith International,SXM,31
3000,2022-10-11,creative,Nelson International,IRQ,29
71000,2026-04-01,finance,Craig International,ATF,95
98000,2026-04-01,creative,Fleming SA,CAN,8
186000,2022-07-07,retail,Vanderschel GmbH,DNK,74
57000,2021-12-31,manufacturing,Noriega Inc,SXM,84
39000,2021-12-31,creative,Howard GmbH,NIU,76
93000,2022-10-11,infrastructure,Preston SA,TON,16
76000,2021-12-31,creative,Cothran Inc,CHE,42
53000,2026-04-01,retail,Swayzer SA,PAN,42
10000,2026-04-01,manufacturing,Ghan PLC,SVK,24
108000,2023-01-01,manufacturing,Laub International,MWI,69
75000,2022-07-07,manufacturing,Hastings Inc,SGS,77
73000,2023-01-01,manufacturing,Gilmore SA,LBY,6
131000,2022-10-11,finance,Hall SA,PHL,5
19000,2022-10-11,manufacturing,Young PLC,ITA,81
82000,2023-01-01,finance,Vandyke SA,SEN,75
72000,2022-10-11,finance,Ruby Ltd,NRU,72
165000,2021-12-31,manufacturing,Clark GmbH,TJK,57
189000,2023-01-01,manufacturing,Denker Ltd,CCK,37
125000,2026-04-01,manufacturing,Sloan Inc,MWI,53
175000,2021-12-31,creative,Hernandez SA,KOR,33
99000,2023-01-01,manufacturing,Fisher Inc,GRD,77
175000,2026-04-01,manufacturing,Hedden Inc,BVT,67
122000,2022-07-07,infrastructure,Ibach Ltd,TUR,66
156000,2022-07-07,infrastructure,Munson SA,MSR,57
136000,2026-04-01,manufacturing,Green PLC,PNG,34
62000,2023-01-01,creative,Hamm International,QAT,71
120000,2022-07-07,manufacturing,Stebner PLC,UMI,18
74000,2022-07-07,infrastructure,Smith PLC,MRT,66
117000,2023-01-01,creative,Smith Inc,BES,92
23000,2022-07-07,retail,Williams PLC,GMB,22
13000,2021-12-31,finance,Mapp SA,GHA,73
140000,2021-12-31,creative,Jones PLC,ARG,58
33000,2023-01-01,finance,Spencer PLC,HUN,38
30000,2023-01-01,creative,Pegoda PLC,GLP,1
149000,2023-01-01,infrastructure,Patwell International,HND,35
96000,2026-04-01,infrastructure,Stewart SA,MRT,26
161000,2021-12-31,creative,Monroe Ltd,TGO,76
188000,2022-10-11,infrastructure,Denson SA,DOM,87
125000,2022-10-11,finance,Bray International,TUR,38
64000,2022-10-11,infrastructure,Dieguez GmbH,GLP,9
91000,2023-01-01,infrastructure,Paulson Ltd,ERI,16
52000,2026-04-01,manufacturing,Crouch Inc,CYP,49
90000,2022-10-11,finance,Suarez PLC,ALA,100
14000,2026-04-01,manufacturing,Kee Ltd,TLS,93
14000,2023-01-01,finance,Small Ltd,GAB,44
50000,2021-12-31,infrastructure,Dixon International,KOR,16
186000,2022-10-11,finance,Moyers SA,CCK,25
198000,2022-10-11,manufacturing,Gaona PLC,CXR,28
20000,2021-12-31,creative,Batie PLC,BFA,17
105000,2022-07-07,retail,Perez International,GRD,95
81000,2023-01-01,creative,Davis PLC,AGO,8
120000,2021-12-31,creative,Miller SA,LSO,99
51000,2023-01-01,infrastructure,Uttley SA,PCN,45
149000,2026-04-01,creative,Luebke International,POL,53
135000,2023-01-01,manufacturing,Johnson Ltd,MOZ,33
85000,2026-04-01,manufacturing,James PLC,NGA,87
166000,2026-04-01,creative,Scarce PLC,ITA,13
19000,2021-12-31,manufacturing,Spragg International,BRB,36
165000,2023-01-01,finance,Steele International,KEN,96
167000,2022-10-11,retail,Elliott PLC,GNB,62
141000,2022-07-07,infrastructure,Pierce PLC,BLZ,54
23000,2021-12-31,finance,Steele Ltd,BGD,19
109000,2023-01-01,creative,Obrien PLC,NFK,71
8000,2021-12-31,finance,Roberts Inc,LBR,98
35000,2026-04-01,retail,Sitzes GmbH,MYT,75
125000,2023-01-01,manufacturing,Brown GmbH,MNE,78
78000,2026-04-01,creative,Pack GmbH,LCA,39
169000,2021-12-31,manufacturing,Hennemann SA,GIB,27
76000,2021-12-31,manufacturing,Richardson PLC,DNK,19
47000,2023-01-01,infrastructure,Eaton International,SSD,74
107000,2026-04-01,finance,Shelley SA,SYR,37
22000,2021-12-31,infrastructure,Richardt GmbH,MKD,49
72000,2022-10-11,creative,Holbrook SA,TKM,56
145000,2026-04-01,retail,Carr GmbH,YEM,43
97000,2023-01-01,creative,Lemley Ltd,BLM,27
165000,2022-07-07,manufacturing,Meister GmbH,ISL,65
127000,2026-04-01,retail,Canida GmbH,TKL,70
48000,2023-01-01,finance,Lassiter SA,NCL,3
137000,2022-07-07,creative,Swank SA,PLW,2
45000,2026-04-01,infrastructure,Townsend Ltd,GLP,98
18000,2022-10-11,finance,Loyd SA,VAT,45
169000,2026-04-01,infrastructure,Leal Ltd,RWA,98
90000,2026-04-01,creative,Carbone SA,NCL,50
49000,2022-07-07,finance,Johnson GmbH,SLV,27
102000,2022-07-07,retail,Malley SA,SRB,66
168000,2022-10-11,infrastructure,Jones GmbH,JAM,91
7000,2023-01-01,manufacturing,Laporte SA,MDA,46
12000,2022-10-11,creative,Jerome PLC,MDA,54
72000,2022-10-11,finance,Watson Inc,VAT,32
149000,2022-10-11,creative,Martin Inc,ISL,76
68000,2022-10-11,infrastructure,Blanton International,SLE,42
96000,2023-01-01,manufacturing,Folwell SA,NZL,63
197000,2021-12-31,retail,Stamm SA,ECU,22
59000,2023-01-01,retail,Krob International,PAN,27
63000,2026-04-01,manufacturing,Mcdermott Inc,COG,88
74000,2026-04-01,infrastructure,Lyons Ltd,IMN,82
67000,2023-01-01,manufacturing,Tan GmbH,BLR,67
134000,2021-12-31,retail,Smith Inc,GRL,96
94000,2021-12-31,creative,Madrid Ltd,ISR,58
7000,2022-07-07,creative,Frost International,SXM,32
68000,2022-10-11,infrastructure,Chavira PLC,ESP,75
65000,2021-12-31,retail,Robbin Ltd,TUN,19
